OGD_ID,LOK_NR,LOK_TEXT,LOK_STATUS,LOK_ART,LOK_GEOMETRIE
LOKALISATION_135,460,Elias-Canetti-Strasse,1,1,POINT (8.54171839 47.41204876)
LOKALISATION_136,1430,Nansenstrasse,1,1,POINT (8.54506213 47.41087257)
LOKALISATION_137,1494,Ohmstrasse,1,1,POINT (8.54589308 47.41081070)
LOKALISATION_138,1882,Sophie-Albrecht-Weg,1,1,POINT (8.53327368 47.41140781)
LOKALISATION_139,1291,Louis-Häfliger-Park,1,2,POINT (8.53358550 47.41300265)
LOKALISATION_140,2318,Bülachhof,1,1,POINT (8.54758031 47.40156154)
LOKALISATION_141,1523,Paul-Grüninger-Weg,1,1,POINT (8.53392200 47.41288191)
LOKALISATION_142,1682,Ruedi-Walter-Strasse,1,1,POINT (8.54175341 47.41599835)
LOKALISATION_143,2169,Werdhölzlistrasse,1,1,POINT (8.48106521 47.39094706)
LOKALISATION_144,344,Calandastrasse,1,1,POINT (8.49028421 47.38785547)
LOKALISATION_145,1351,Max-Högger-Strasse,1,1,POINT (8.49196796 47.39339334)
LOKALISATION_146,317,Buckhauserstrasse,1,1,POINT (8.49285106 47.38470316)
LOKALISATION_147,786,Hardhof,1,1,POINT (8.49430349 47.39782953)
LOKALISATION_148,1769,Schneeglöggliweg,1,1,POINT (8.50147639 47.38124058)
LOKALISATION_149,1200,Landisstrasse,1,1,POINT (8.54412476 47.41249712)
LOKALISATION_150,236,Birnbaumstrasse,1,1,POINT (8.54917855 47.41112336)
LOKALISATION_151,497,Eschenweg,1,1,POINT (8.54260121 47.40363292)
LOKALISATION_152,209,Berninaplatz,1,2,POINT (8.54782121 47.40326330)
LOKALISATION_153,2012,Therese-Giehse-Strasse,1,1,POINT (8.54174770 47.41276635)
LOKALISATION_154,465,Else-Lasker-Schüler-Weg,1,1,POINT (8.53974819 47.41307618)
LOKALISATION_155,1369,MFO-Park,1,1,POINT (8.54032753 47.41195536)
LOKALISATION_156,438,Eichhalde,1,1,POINT (8.57733541 47.36174683)
LOKALISATION_157,942,Hüslibachstrasse,1,1,POINT (8.51461434 47.32886605)
LOKALISATION_158,276,Bristenstrasse,1,1,POINT (8.48817529 47.38974285)
LOKALISATION_159,155,Bändlistrasse,1,1,POINT (8.49152559 47.39461738)
LOKALISATION_160,2046,Tüffenwies,1,1,POINT (8.49186976 47.39717000)
LOKALISATION_161,400,Dörflistrasse,1,1,POINT (8.55022721 47.40615837)
LOKALISATION_162,1317,Malvenstrasse,1,1,POINT (8.54435028 47.40507995)
LOKALISATION_163,2086,Venusstrasse,1,1,POINT (8.54322324 47.40623005)
